Street_ID,Base_Street_ID,Alias Type,Pre Dir,Street Name,Type,Suffix,FULLNAME,Tiered?,Min Address,Max Address,Chicago Coord,Chicago Coord Dir
3846,180,HONORARY,E,REV THOMAS JACKSON JR,ST,,E REV THOMAS JACKSON JR  ST,,1600,1630,7800,S
3317,181,ALIAS,E,79,PL,,E 79 PL,,1132,3099,7932,S
3318,182,ALIAS,E,79,ST,,E 79 ST,,1,3399,7900,S
3320,183,ALIAS,E,80,PL,,E 80 PL,,2932,3027,8032,S
3321,184,ALIAS,E,80,ST,,E 80 ST,,1,3199,8000,S
3322,185,ALIAS,E,81,PL,,E 81 PL,,1110,2959,8132,S
3323,186,ALIAS,E,81,ST,,E 81 ST,,1,3199,8100,S
3324,187,ALIAS,E,82,PL,,E 82 PL,,1102,2999,8232,S
3325,188,ALIAS,E,82,ST,,E 82 ST,,1,3199,8200,S
3326,189,ALIAS,E,83,PL,,E 83 PL,,600,3199,8332,S
3327,190,ALIAS,E,83,ST,,E 83 ST,,1,3399,8300,S
3328,191,ALIAS,E,84,PL,,E 84 PL,,714,1799,8432,S
3329,192,ALIAS,E,84,ST,,E 84 ST,,1,3399,8400,S
3827,192,HONORARY,E,MONSIGNOR D M CANTWELL,DR,,E MONSIGNOR D M CANTWELL DR,,300,333,8400,S
3853,192,HONORARY,E,ST FELICITAS CHURCH,ST,,E ST FELICITAS CHURCH ST,,1500,1555,8400,S
3330,193,ALIAS,E,85,PL,,E 85 PL,,1222,1799,8532,S
3331,194,ALIAS,E,85,ST,,E 85 ST,,1,3399,8500,S
3332,195,ALIAS,E,86,PL,,E 86 PL,,520,1799,8632,S
3333,196,ALIAS,E,86,ST,,E 86 ST,,1,3399,8600,S
3334,197,ALIAS,E,87,PL,,E 87 PL,,322,1799,8732,S
3335,198,ALIAS,E,87,ST,,E 87 ST,,1,3431,8700,S
3336,199,ALIAS,E,88,PL,,E 88 PL,,342,1398,8832,S
3337,200,ALIAS,E,88,ST,,E 88 ST,,1,3399,8800,S
3338,201,ALIAS,E,89,PL,,E 89 PL,,33,1399,8932,S
3339,202,ALIAS,E,89,ST,,E 89 ST,,1,3499,8900,S
3319,203,ALIAS,E,8,ST,,E 8 ST,,1,99,800,S
3849,203,HONORARY,E,SAM CASCIO,DR,,E SAM CASCIO DR,,1,18,800,S
3341,204,ALIAS,E,90,PL,,E 90 PL,,200,1499,9032,S
3342,205,ALIAS,E,90,ST,,E 90 ST,,1,3499,9000,S
3806,205,HONORARY,E,DRS CLAUDE & ADDIE WYATT,ST,,E DRS CLAUDE & ADDIE WYATT ST,,1600,1629,9000,S
3343,206,ALIAS,E,91,PL,,E 91 PL,,400,1755,9132,S
