Street_ID,Base_Street_ID,Alias Type,Pre Dir,Street Name,Type,Suffix,FULLNAME,Tiered?,Min Address,Max Address,Chicago Coord,Chicago Coord Dir
301,0,,E,MIDWAY PLAISANCE,,N,E MIDWAY PLAISANCE   N,,1600,1630,5900,S
302,0,,E,MONROE,DR,,E MONROE DR,,100,410,100,S
303,0,,E,MONROE,ST,,E MONROE ST,,1,99,100,S
304,0,,E,MORGAN,DR,,E MORGAN DR,,440,731,5500,S
305,0,,E,MUSEUM,DR,,E MUSEUM DR,,1620,1899,5700,S
306,0,,E,NAVAL ARMORY,DR,,E NAVAL ARMORY DR,,732,799,5200,S
307,0,,E,NORTH,AVE,,E NORTH AVE,,1,99,1600,N
308,0,,E,NORTH WATER LOWER,ST,,E NORTH WATER LOWER ST,,134,399,0
309,0,,E,NORTH WATER,ST,,E NORTH WATER ST,,39,499,400,N
310,0,,E,OAK,ST,,E OAK ST,,1,149,1000,N
311,0,,E,OAKWOOD,BLVD,,E OAKWOOD BLVD,,0,1099,3946,S
312,0,,E,OHIO,ST,,E OHIO ST,,1,1099,600,N
313,0,,E,ONTARIO,ST,,E ONTARIO ST,,1,499,628,N
314,0,,E,PARK,PL,,E PARK PL,,1344,1499,5520,S
315,0,,E,PAVILION PLAZA,DR,,E PAVILION PLAZA DR,,2100,2199,0
316,0,,E,PEARSON,ST,,E PEARSON ST,,1,299,830,N
317,0,,E,PERSHING,RD,,E PERSHING RD,,1,999,3900,S
318,0,,E,POOL,DR,,E POOL DR,,400,531,5512,S
319,0,,E,PUBLIC,WAY,,E PUBLIC WAY,,1532,1599,6014,S
320,0,,E,RAINEY,DR,,E RAINEY DR,,600,731,5520,S
321,0,,E,RANDOLPH LOWER,ST,,E RANDOLPH LOWER ST,,120,399,150,N
322,0,,E,RANDOLPH,ST,,E RANDOLPH ST,,0,599,150,N
323,0,,E,RIVER,DR,,E RIVER DR,,343,472,404,N
324,0,,E,ROCHDALE,PL,,E ROCHDALE PL,,1400,1499,5474,S
325,0,,E,ROOSEVELT,DR,,E ROOSEVELT DR,,300,399,1200,S
326,0,,E,ROOSEVELT,RD,,E ROOSEVELT RD,,1,299,1200,S
327,0,,E,SCHILLER,ST,,E SCHILLER ST,,1,99,1400,N
328,0,,E,SCIENCE,DR,,E SCIENCE DR,,1800,1899
329,0,,E,SCOTT,ST,,E SCOTT ST,,1,99,1240,N
330,0,,E,SOLIDARITY,DR,,E SOLIDARITY DR,,0,999,1250,S
331,0,,E,SOUTH SHORE,DR,,E SOUTH SHORE DR,,2400,2549,0
332,0,,E,SOUTH WATER LOWER,ST,,E SOUTH WATER LOWER ST,,119,199,300,N
333,0,,E,SOUTH WATER RAMP,,,E SOUTH WATER RAMP,,0,299,300,N
334,0,,E,SOUTH WATER,ST,,E SOUTH WATER ST,,0,499,300,N
335,0,,E,STEPHEN A DOUGLAS,DR,,E STEPHEN A DOUGLAS DR,,701,799,3500,S
336,0,,E,STEVENSON 25TH ST,ER,,E STEVENSON 25TH ST ER,,0,369,0
337,0,,E,STEVENSON,EXPY,IB,E STEVENSON EXPY IB,,1,499,0
338,0,,E,STEVENSON,EXPY,OB,E STEVENSON EXPY OB,,1,499,0
339,0,,E,STEVENSON IB LSD NB,ER,,E STEVENSON IB LSD NB ER,,430,599,0
